time,power,alpha,beta,gamma
1455713715067,0.97,314.6646423339844,83.47381591796875,-0.9906319379806519
1455713715125,0.97,314.6259765625,83.64380645751953,-0.924625039100647
1455713715187,0.97,314.48974609375,83.85796356201172,-0.7829259037971497
1455713715243,0.97,314.4532470703125,83.990966796875,-0.7142005562782288
1455713715308,0.97,314.38299560546875,84.07943725585938,-0.7024936079978943
1455713715365,0.97,314.27789306640625,84.17031860351562,-0.731590211391449
1455713715427,0.97,313.9578857421875,84.11663818359375,-0.8196176886558533
1455713715483,0.97,313.8360900878906,84.18640899658203,-0.9117842316627502
1455713715546,0.97,313.43841552734375,84.2260971069336,-1.1309376955032349
1455713715604,0.97,313.24798583984375,84.21121215820312,-1.2903406620025635
1455713715666,0.97,313.06353759765625,84.42974853515625,-1.638489007949829
1455713715723,0.97,313.0115966796875,84.83221435546875,-2.0221545696258545
1455713715786,0.97,313.027587890625,85.11921691894531,-2.2523865699768066
1455713715844,0.97,313.1529235839844,85.47203826904297,-2.6670610904693604
1455713715906,0.97,313.23992919921875,85.52766418457031,-2.8224477767944336
1455713715963,0.97,313.2742614746094,85.80548858642578,-2.8680734634399414
1455713716025,0.97,313.3905029296875,85.90084075927734,-2.81359601020813
1455713716084,0.97,313.8793029785156,86.19697570800781,-2.5111825466156006
1455713716146,0.97,314.07672119140625,86.37593078613281,-2.322805881500244
1455713716203,0.97,313.8525085449219,86.81697082519531,-2.057316303253174
1455713716265,0.97,313.03173828125,86.93771362304688,-2.193250894546509
1455713716323,0.97,309.2056579589844,86.92794799804688,-2.963108777999878
1455713716385,0.97,306.475830078125,93.24726867675781,-3.2345130443573
1455713716443,0.97,301.864013671875,93.84725952148438,-3.474020481109619
1455713716506,0.97,296.66143798828125,95.21939086914062,-3.6402535438537598
1455713716561,0.97,293.8371276855469,95.60639953613281,-3.7906270027160645
1455713716625,0.97,289.5550537109375,95.85149383544922,-3.5692880153656006
1455713716683,0.97,289.1160583496094,95.07496643066406,-3.044429063796997
1455713716744,0.97,287.5946350097656,93.84154510498047,-1.802823543548584
1455713716801,0.97,285.7113342285156,93.68875885009766,-1.390771746635437
1455713716865,0.97,280.69873046875,94.04293060302734,-1.2991379499435425
1455713716922,0.97,278.4866638183594,93.98123168945312,-1.4104700088500977
1455713716984,0.97,273.9566955566406,93.60130310058594,-2.1274898052215576
1455713717041,0.97,271.1661682128906,93.85177612304688,-2.711402654647827
1455713717104,0.97,265.80877685546875,94.85381317138672,-4.122737884521484
1455713717162,0.97,263.39581298828125,95.57456970214844,-5.308062553405762
1455713717223,0.97,263.062744140625,95.84458923339844,-5.676346302032471
1455713717281,0.97,262.5216979980469,96.13114166259766,-6.036584377288818
1455713717343,0.97,262.14398193359375,96.27253723144531,-6.129270076751709
1455713717401,0.97,261.6575927734375,96.66826629638672,-6.352467060089111
1455713717463,0.97,262.0479736328125,96.79512023925781,-6.429811954498291
1455713717520,0.97,264.1112365722656,96.49938201904297,-6.220371246337891
1455713717583,0.97,265.0867004394531,96.54457092285156,-6.292047023773193
1455713717641,0.97,268.025390625,95.97553253173828,-5.870569705963135
1455713717702,0.97,269.6402893066406,95.61737060546875,-5.585136413574219
1455713717760,0.97,272.0885009765625,95.28897857666016,-5.2845258712768555
1455713717822,0.97,273.5946044921875,84.86958312988281,-5.127581596374512
1455713717881,0.97,276.8563232421875,85.34099578857422,-4.648621559143066
1455713717942,0.97,277.0833740234375,84.91688537597656,-5.074811935424805
1455713717999,0.97,276.47857666015625,84.6672592163086,-5.329851150512695
1455713718064,0.97,275.71978759765625,95.72224426269531,-5.693408489227295
1455713718117,0.97,275.44122314453125,95.9874267578125,-5.886279106140137
1455713718182,0.97,275.1339111328125,96.45858764648438,-6.156905174255371
1455713718239,0.97,275.1341247558594,96.60945129394531,-6.239932537078857
1455713718301,0.97,275.34600830078125,96.64594268798828,-6.210194110870361
1455713718358,0.97,275.5986022949219,96.63140869140625,-6.150279521942139
1455713718422,0.97,276.0897216796875,96.5933837890625,-6.08088493347168
1455713718478,0.97,276.3992004394531,96.53650665283203,-6.054629802703857
1455713718541,0.97,277.35845947265625,96.22724151611328,-5.96579647064209
1455713718597,0.97,277.6168212890625,96.15013885498047,-5.977175235748291
1455713718661,0.97,278.1978454589844,96.0589370727539,-5.9671759605407715
1455713718718,0.97,279.0369873046875,95.95246124267578,-5.850557327270508
1455713718780,0.97,279.51373291015625,95.84324645996094,-5.738460063934326
1455713718837,0.97,280.2973937988281,95.65485382080078,-5.500510215759277
1455713718900,0.97,280.59735107421875,95.57331085205078,-5.393658638000488
1455713718958,0.97,280.9700622558594,95.47087860107422,-5.252232551574707
1455713719020,0.97,281.20526123046875,95.44999694824219,-5.221660614013672
1455713719077,0.97,281.35711669921875,95.41410064697266,-5.17514705657959
1455713719140,0.97,281.525390625,95.3847427368164,-5.145012378692627
1455713719198,0.97,281.6320495605469,95.41239929199219,-5.153222560882568
1455713719259,0.97,281.7373962402344,95.4046859741211,-5.144001483917236
1455713719317,0.97,281.95111083984375,95.3807373046875,-5.13120174407959
1455713719381,0.97,282.3866882324219,95.22359466552734,-5.041808128356934
1455713719437,0.97,282.6905822753906,95.12674713134766,-4.970500946044922
1455713719499,0.97,283.52020263671875,94.89513397216797,-4.79724645614624
1455713719555,0.97,284.0089111328125,94.76377868652344,-4.688632965087891
