time,power,x,y,z
1455715710371,0.94,0.03497868776321411,0.25135278701782227,0.2683734893798828
1455715710410,0.94,0.05478256940841675,0.013484716415405273,-0.12412452697753906
1455715710450,0.94,-0.05188688635826111,-0.13852405548095703,-0.11078548431396484
1455715710489,0.94,0.07717448472976685,0.08252072334289551,0.2597675323486328
1455715710528,0.94,0.11151029169559479,0.32826972007751465,-0.004668235778808594
1455715710571,0.94,-0.01033318042755127,-0.11640739440917969,-0.12433338165283203
1455715710610,0.94,0.16784518957138062,0.13467097282409668,0.02878856658935547
1455715710648,0.94,0.007935106754302979,0.14793610572814941,-0.2105083465576172
1455715710692,0.94,-0.07405075430870056,-0.2798166275024414,-0.3464326858520508
1455715710730,0.94,-0.09752577543258667,0.023086071014404297,-0.04360675811767578
1455715710768,0.94,-0.05887806415557861,0.43769121170043945,0.009141921997070312
1455715710811,0.94,-0.031788378953933716,0.09172821044921875,-0.13625526428222656
1455715710850,0.94,-0.05605882406234741,0.1824955940246582,-0.04966163635253906
1455715710889,0.94,-0.3817564845085144,0.05794072151184082,-0.005272865295410156
1455715710931,0.94,0.192301943898201,-0.4724116325378418,-0.21670150756835938
1455715710969,0.94,-0.4663780927658081,1.1266775131225586,0.4124011993408203
1455715711008,0.94,-1.169433832168579,-0.5841224193572998,-0.6674060821533203
1455715711050,0.94,0.02158188819885254,-0.24524378776550293,-0.39035606384277344
1455715711090,0.94,0.6719418168067932,-0.3569929599761963,-0.17445850372314453
1455715711128,0.94,0.5949811935424805,-0.6607890129089355,-0.16445159912109375
1455715711169,0.94,0.9200928211212158,-0.39846134185791016,0.1517486572265625
1455715711209,0.94,0.9810992479324341,-0.7207634449005127,0.28028297424316406
1455715711247,0.94,0.34842854738235474,-0.5000405311584473,0.6281347274780273
1455715711291,0.94,0.41274088621139526,-0.7426848411560059,0.7896461486816406
1455715711329,0.94,0.11196732521057129,-0.4467501640319824,0.7848567962646484
1455715711368,0.94,0.10871641337871552,-0.24637317657470703,0.5953426361083984
1455715711409,0.94,0.021888360381126404,-0.06501460075378418,0.6677007675170898
1455715711449,0.94,0.1897939294576645,-0.27215147018432617,0.40590476989746094
